"","Common_Nam","Life_Stage","Stream Nam","M","Y","Data_Sourc","Full_citat","Latitude","Longitude","Lake","glacier","slope","S1e","S30e","S32e","OBSPRED_ID","FTYPE","WATERBODY","TAILWATER","ELEV","CANOPY","PRECIP","BFI","S1_93_11","S30_2040D","S32_2080D","GNIS_NAME"
"1","Rocky Mountain Tailed Frog","Mature","NA",8,2007,"IDFG 2022",NA,48.318475,-116.244328,0,-9999,0.11409,0,0,0,141769,"StreamRiver",0,0,1043.78,90.28,1974.403,68,9.04,10.22,11.08,"Trestle Creek"
"2","Rocky Mountain Tailed Frog","Mature","NA",8,2008,"IDFG 2022",NA,47.232572,-116.337624,0,-9999,0.06543,0,0,0,119071,"StreamRiver",0,0,1030.08,90.3,1023.862,58,11.61,12.89,13.82,NA
"3","Rocky Mountain Tailed Frog","Larva","NA",8,2008,"IDFG 2022",NA,47.232572,-116.337624,0,-9999,0.06543,0,0,0,119071,"StreamRiver",0,0,1030.08,90.3,1023.862,58,11.61,12.89,13.82,NA
"4","Rocky Mountain Tailed Frog","Mature","NA",6,2003,"IDFG 2022",NA,46.312018,-115.365531,0,-9999,0.16704,0,0,0,108154,"StreamRiver",0,0,600.92,11.04,1124.18,66,14.2,15.88,17.09,"Otter Slide Creek"
"5","Rocky Mountain Tailed Frog","Larva","NA",6,2003,"IDFG 2022",NA,46.615929,-114.673536,0,-9999,0.02085,0,0,0,112018,"StreamRiver",0,0,1374.36,94.67,1420.255,69,11.39,12.95,14.08,"Boulder Creek"
"6","Rocky Mountain Tailed Frog","Mature","NA",6,2003,"IDFG 2022",NA,46.615929,-114.673536,0,-9999,0.02085,0,0,0,112018,"StreamRiver",0,0,1374.36,94.67,1420.255,69,11.39,12.95,14.08,"Boulder Creek"
"7","Rocky Mountain Tailed Frog","Mature","NA",7,2003,"IDFG 2022",NA,46.562766,-115.62251,0,-9999,0.03165,0,0,0,111326,"StreamRiver",0,0,1005.41,49.34,1489.33,66,12.13,13.72,14.88,"French Creek"
"8","Rocky Mountain Tailed Frog","Mature","NA",7,2003,"IDFG 2022",NA,46.804882,-115.445733,0,-9999,0.03748,0,0,0,114281,"StreamRiver",0,0,595.84,23.54,1144.357,70,13.85,15.52,16.73,"Quartz Creek"
"9","Rocky Mountain Tailed Frog","Mature","NA",7,2003,"IDFG 2022",NA,46.862326,-115.433988,0,-9999,0.02226,0,0,0,115110,"StreamRiver",0,0,706.01,34.32,1007.959,70,14.1,15.78,16.99,"Collins Creek"
"10","Rocky Mountain Tailed Frog","Mature","NA",7,2003,"IDFG 2022",NA,47.228374,-115.709298,0,-9999,0.02229,0,0,0,118742,"StreamRiver",0,0,792.05,57.27,1054.34,67,13.35,14.7,15.68,"Saint Joe River"
"11","Rocky Mountain Tailed Frog","Mature","NA",7,2003,"IDFG 2022",NA,45.708149,-114.716249,0,-9999,0.02574,0,0,0,100767,"StreamRiver",0,0,1252.6,56.42,592.3834,70,14.15,15.83,17.04,"Deep Creek"
"12","Rocky Mountain Tailed Frog","Larva","NA",7,2003,"IDFG 2022",NA,45.749222,-114.781582,0,-9999,0.03915,0,0,0,101012,"StreamRiver",0,0,1130.74,64.14,692.4927,70,12.69,14.32,15.48,"Little Clearwater River"
"13","Rocky Mountain Tailed Frog","Mature","NA",7,2003,"IDFG 2022",NA,45.749222,-114.781582,0,-9999,0.03915,0,0,0,101012,"StreamRiver",0,0,1130.74,64.14,692.4927,70,12.69,14.32,15.48,"Little Clearwater River"
"14","Rocky Mountain Tailed Frog","Mature","NA",7,2003,"IDFG 2022",NA,46.068576,-115.363644,0,-9999,0,0,0,0,104482,"StreamRiver",0,0,498.81,26.22,888.96,69,18.7,20.56,21.91,"Selway River"
"15","Rocky Mountain Tailed Frog","Mature","NA",7,2003,"IDFG 2022",NA,46.085217,-115.494778,0,-9999,0.08328,0,0,0,104942,"StreamRiver",0,0,496.3,56.9,952.0455,68,14.94,16.66,17.89,"Rackliff Creek"
"16","Rocky Mountain Tailed Frog","Larva","NA",8,2003,"IDFG 2022",NA,44.89014,-115.705069,0,-9999,0.06889,0,0,0,110007,"StreamRiver",0,0,1262.8,60.18,649.601,68,11.21,12.5,13.33,"Camp Creek"
